Area de Estudio,Clave Programa,Nombre Programa,Escuela
Ambiente Construido,ARQ,Arquitectura,"Arquitectura, Arte y Diseño"
Ambiente Construido,LUB,Licenciatura en Urbanismo,"Arquitectura, Arte y Diseño"
Ambiente Construido,IC,Ingeniería Civil,Ingeniería y Ciencias
"Derecho, Economía y Relaciones Internacionales",LEC,Licenciatura en Economía,Ciencias Sociales y Gobierno
"Derecho, Economía y Relaciones Internacionales",LRI,Licenciatura en Relaciones Internacionales,Ciencias Sociales y Gobierno
"Derecho, Economía y Relaciones Internacionales",LED,Licenciatura en Derecho,Ciencias Sociales y Gobierno
"Derecho, Economía y Relaciones Internacionales",LTP,Licenciatura en Gobierno y Transformación Pública,Ciencias Sociales y Gobierno
Estudios Creativos,ARQ,Arquitectura,"Arquitectura, Arte y Diseño"
Estudios Creativos,LC,Licenciatura en Comunicación,Humanidades y Educación
Estudios Creativos,LEI,Licenciatura en Innovación Educativa,Humanidades y Educación
Estudios Creativos,LPE,Licenciatura en Periodismo,Humanidades y Educación
Estudios Creativos,LAD,Licenciatura en Arte Digital,Humanidades y Educación
Estudios Creativos,LDI,Licenciatura en Diseño,Humanidades y Educación
Estudios Creativos,LLE,Licenciatura en Letras Hispánicas,Humanidades y Educación
Estudios Creativos,LTM,Licenciatura en Tecnología y Producción Musical,Humanidades y Educación
Ingeniería y Ciencias,IDM,Ingeniería en Ciencia de Datos y Matemáticas,Ingeniería y Ciencias
Ingeniería y Ciencias,INA,Ingeniería en Nanotecnología,Ingeniería y Ciencias
Ingeniería y Ciencias,IAL,Ingeniería en Alimentos,Ingeniería y Ciencias
Ingeniería y Ciencias,IDS,Ingeniería en Desarrollo Sustentable,Ingeniería y Ciencias
Ingeniería y Ciencias,IRS,Ingeniería en Robótica y Sistemas Digitales,Ingeniería y Ciencias
Ingeniería y Ciencias,ITD,Ingeniería en Transformación Digital de Negocios,Ingeniería y Ciencias
Ingeniería y Ciencias,IE,Ingeniería en Electrónica,Ingeniería y Ciencias
Ingeniería y Ciencias,IIS,Ingeniería Industrial y de Sistemas,Ingeniería y Ciencias
Ingeniería y Ciencias,IMT,Ingeniería en Mecatrónica,Ingeniería y Ciencias
Ingeniería y Ciencias,IFI,Ingeniería en Física Industrial,Ingeniería y Ciencias
Ingeniería y Ciencias,IAG,Ingeniería en Biosistemas Agroalimentarios,Ingeniería y Ciencias
Ingeniería y Ciencias,IBT,Ingeniería en Biotecnología,Ingeniería y Ciencias
Ingeniería y Ciencias,IQ,Ingeniería Química,Ingeniería y Ciencias
Ingeniería y Ciencias,ITC,Ingeniería en Tecnologías Computacionales,Ingeniería y Ciencias
Ingeniería y Ciencias,IC,Ingeniería Civil,Ingeniería y Ciencias
Ingeniería y Ciencias,IID,Ingeniería en Innovación y Desarrollo,Ingeniería y Ciencias
Ingeniería y Ciencias,IM,Ingeniería Mecánica,Ingeniería y Ciencias
Ingeniería y Ciencias,IMD,Ingeniería Biomédica,Ingeniería y Ciencias
Negocios,LAE,Licenciatura en Estrategia y Transformación de Negocios,Negocios
Negocios,LCPF,Licenciatura en Contaduría Pública y Finanzas,Negocios
Negocios,LDO,Licenciatura en Desarrollo de Talento y Cultura Organizacional,Negocios
Negocios,LIN,Licenciatura en Negocios Internacionales,Negocios
Negocios,LAF,Licenciatura en Finanzas,Negocios
Negocios,LDE,Licenciatura en Emprendimiento,Negocios
Negocios,LEM,Licenciatura en Mercadotecnia,Negocios
Negocios,LIT,Licenciatura en Inteligencia de Negocios,Negocios
Salud,LBC,Licenciatura en Biociencias,Medicina y Ciencias de la Salud
Salud,LPS,Licenciatura en Psicología Clínica y de la Salud,Medicina y Ciencias de la Salud
Salud,MO,Médico Cirujano Odontólogo,Medicina y Ciencias de la Salud
Salud,LNB,Licenciatura en Nutrición y Bienestar Integral,Medicina y Ciencias de la Salud
Salud,MC,Médico Cirujano,Medicina y Ciencias de la Salud